file,model,model-long,codon model,description,tree-length,Lnl,np,kappa,omega,dN,dS
OG0010422,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.44135,-4434.393286,26,4.34062,0.18144,0.0656,0.3617
OG0007220,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.26861,-3531.277567,26,4.72956,0.14206,0.198,1.3939
OG0005856,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.80927,-3146.198075,26,1.77317,0.27649,0.1743,0.6303
OG0009253,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.01215,-2247.366728,26,3.24396,0.35127,0.2181,0.6208
OG0013570,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.49264,-3273.480151,26,3.26235,0.16931,0.0707,0.4174
OG0011723,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.11064,-2863.670165,26,2.46478,0.44882,0.2873,0.6401
OG0008437,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.74427,-1605.61988,26,3.32745,0.38457,0.1693,0.4401
OG0010830,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.34478,-3420.30106,26,3.77115,0.39717,0.3103,0.7814
OG0013453,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.41823,-2636.759593,26,2.18527,0.17219,0.0643,0.3733
OG0012152,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.44191,-8791.205197,26,3.74784,0.37176,0.0999,0.2686
OG0012477,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.98752,-3266.916437,26,3.22798,0.49984,0.2536,0.5073
OG0013466,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.91161,-4377.13275,26,3.27156,0.23362,0.1568,0.671
OG0013674,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.00444,-5971.568873,26,2.51653,0.03866,0.0536,1.3874
OG0007148,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.39749,-2880.185972,26,4.82156,0.28776,0.0761,0.2644
