file,null,alt,df,lrt,pval,note
OG0007678,bsA1,bsA,1,0.0,1.0,
OG0007678,M0,bsA,3,18.32640399999991,0.0003766667031634974,
OG0007678,M0,bsA1,2,18.32640399999991,0.00010482670498279667,
OG0008417,bsA1,bsA,1,498.84335400000055,0.0,
OG0008417,M0,bsA,3,729.9044400000002,0.0,
OG0008417,M0,bsA1,2,231.0610859999997,0.0,
OG0009781,bsA1,bsA,1,0.0,1.0,
OG0009781,M0,bsA,3,13.62846400000035,0.0034570810250823536,
OG0009781,M0,bsA1,2,13.62846400000035,0.001098036164207894,
OG0012396,bsA1,bsA,1,38.74933400000009,4.818746512924577e-10,
OG0012396,M0,bsA,3,186.74323600000025,0.0,
OG0012396,M0,bsA1,2,147.99390200000016,0.0,
OG0011341,bsA1,bsA,1,109.60711600000013,0.0,
OG0011341,M0,bsA,3,249.69891800000005,0.0,
OG0011341,M0,bsA1,2,140.09180199999992,0.0,
OG0006116,bsA1,bsA,1,56.15537399999994,6.694644838489694e-14,
OG0006116,M0,bsA,3,192.44423199999983,0.0,
OG0006116,M0,bsA1,2,136.2888579999999,0.0,
OG0007514,bsA1,bsA,1,36.61070000000018,1.4423781058425789e-09,
OG0007514,M0,bsA,3,79.90511599999991,0.0,
OG0007514,M0,bsA1,2,43.29441599999973,3.969511386259228e-10,
OG0006834,bsA1,bsA,1,9.028982000000724,0.0026573242554412957,
OG0006834,M0,bsA,3,60.09143800000038,5.619948950652542e-13,
OG0006834,M0,bsA1,2,51.062455999999656,8.164469100790939e-12,
OG0013805,bsA1,bsA,1,56.873181999999815,4.651834473179406e-14,
OG0013805,M0,bsA,3,273.6530520000001,0.0,
OG0013805,M0,bsA1,2,216.7798700000003,0.0,
OG0005438,bsA1,bsA,1,0.0,1.0,
OG0005438,M0,bsA,3,33.997206000000006,1.9838802167715386e-07,
OG0005438,M0,bsA1,2,33.997206000000006,4.1457252519805365e-08,
OG0009606,bsA1,bsA,1,0.009522000000288244,0.9222652220910021,
OG0009606,M0,bsA,3,18.987834000000475,0.0002749870285415623,
OG0009606,M0,bsA1,2,18.978312000000187,7.566794008317945e-05,
OG0012310,bsA1,bsA,1,0.0,1.0,
OG0012310,M0,bsA,3,41.44055400000002,5.273213976586533e-09,
OG0012310,M0,bsA1,2,41.44055400000002,1.0029933550370629e-09,
OG0009440,bsA1,bsA,1,3.2840199999991455,0.06995738050142664,
OG0009440,M0,bsA,3,201.31038399999852,0.0,
OG0009440,M0,bsA1,2,198.02636399999938,0.0,
OG0013931,bsA1,bsA,1,,,lnl1 < lnl0
OG0013931,M0,bsA,3,63.295350000000326,1.1612932837579137e-13,
