file,null,alt,df,lrt,pval,note
OG0007585,bsA1,bsA,1,0.0003259999994043028,0.9855946018916371,
OG0011389,bsA1,bsA,1,0.0,1.0,
OG0005295,bsA1,bsA,1,509.5170100000014,0.0,
OG0006372,bsA1,bsA,1,0.0,1.0,
OG0006953,bsA1,bsA,1,206.02290599999924,0.0,
OG0010571,bsA1,bsA,1,30.081035999999585,4.14363525713668e-08,
OG0014014,bsA1,bsA,1,222.828168,0.0,
OG0010471,bsA1,bsA,1,9.999999747378752e-06,0.997476871715064,
OG0013628,bsA1,bsA,1,121.30921599999965,0.0,
OG0010675,bsA1,bsA,1,101.65659600000026,0.0,
OG0013742,bsA1,bsA,1,0.0,1.0,
OG0006964,bsA1,bsA,1,0.002943999999843072,0.9567291015911505,
OG0006639,bsA1,bsA,1,2.9385500000007596,0.08648834026400021,
OG0005440,bsA1,bsA,1,171.4353259999998,0.0,
OG0010724,bsA1,bsA,1,199.1258080000007,0.0,
OG0012693,bsA1,bsA,1,0.0,1.0,
OG0009650,bsA1,bsA,1,8.462599999998929,0.0036252327458106137,
OG0009040,bsA1,bsA,1,0.0,1.0,
OG0007097,bsA1,bsA,1,155.40670200000022,0.0,
OG0006949,bsA1,bsA,1,40.03230200000053,2.4979773805000605e-10,
OG0012611,bsA1,bsA,1,170.49697600000036,0.0,
OG0010371,bsA1,bsA,1,3.1429000000007363,0.07625810592456705,
OG0008066,bsA1,bsA,1,561.835774000001,0.0,
OG0013782,bsA1,bsA,1,2.0000006770715117e-06,0.9988716210180326,
OG0007563,bsA1,bsA,1,78.76998200000003,0.0,
OG0012109,bsA1,bsA,1,2.887699999999313,0.08925826692521421,
OG0005959,bsA1,bsA,1,0.0,1.0,
OG0007184,bsA1,bsA,1,0.0,1.0,
OG0013761,bsA1,bsA,1,188.7584740000002,0.0,
OG0007113,bsA1,bsA,1,1.3030520000011165,0.2536564923882313,
OG0008832,bsA1,bsA,1,0.0,1.0,
OG0011417,bsA1,bsA,1,81.28126400000019,0.0,
OG0010607,bsA1,bsA,1,1.9938359999996464,0.15794036911575937,
OG0008551,bsA1,bsA,1,0.0006599999996979022,0.9795042290554119,
OG0006172,bsA1,bsA,1,23.729268000000047,1.108833861951375e-06,
OG0007334,bsA1,bsA,1,117.35514200000034,0.0,
OG0013348,bsA1,bsA,1,23.39712799999961,1.3177512959705595e-06,
OG0008348,bsA1,bsA,1,3.7617780000000494,0.05243679193982742,
OG0014269,bsA1,bsA,1,13.204657999999654,0.0002792541974613316,
OG0014231,bsA1,bsA,1,5.179777999999715,0.022851243346704853,
OG0011908,bsA1,bsA,1,2.0131099999998696,0.155945354170284,
OG0013219,bsA1,bsA,1,33.63341000000037,6.6539965759560005e-09,
