Orthogroup	Duplications (all)	Duplications (50% support)
OG0000486	1	1
OG0000487	2	2
OG0000488	10	10
OG0000489	1	1
OG0000490	1	1
OG0000491	1	1
OG0000492	1	1
OG0000493	1	1
OG0000494	1	1
OG0000495	1	1
OG0000496	2	2
OG0000497	2	2
OG0000498	1	1
OG0000499	12	10
OG0000500	1	1
OG0000501	1	1
OG0000502	1	1
OG0000503	1	1
OG0000504	2	2
OG0000505	2	2
OG0000506	1	1
OG0000507	1	1
OG0000508	1	1
OG0000509	1	1
OG0000510	4	3
OG0000511	1	1
OG0000512	10	3
OG0000513	2	1
OG0000514	1	1
OG0000515	1	1
OG0000516	1	1
OG0000517	2	2
OG0000518	1	1
OG0000519	14	14
OG0000520	1	1
OG0000521	1	1
OG0000522	2	2
OG0000523	1	1
OG0000524	9	5
OG0000525	1	1
OG0000526	5	5
OG0000527	2	2
OG0000528	6	2
OG0000529	2	2
OG0000530	1	1
OG0000531	1	1
OG0000532	2	2
OG0000533	1	1
OG0000534	4	4
OG0000535	4	4
OG0000536	2	2
OG0000537	9	9
OG0000538	10	6
OG0000539	7	4
OG0000540	13	7
OG0000541	11	6
OG0000542	9	2
OG0000543	11	9
OG0000544	5	5
OG0000545	13	9
OG0000546	12	12
OG0000547	8	7
OG0000548	1	1
OG0000549	2	1
OG0000550	1	1
OG0000551	1	1
OG0000552	1	1
OG0000553	2	2
OG0000554	1	1
OG0000555	2	2
OG0000556	1	1
OG0000557	1	1
OG0000558	1	1
OG0000559	2	2
OG0000560	6	4
OG0000561	8	5
OG0000562	1	1
OG0000563	1	1
OG0000564	3	1
OG0000565	4	3
OG0000566	3	0
OG0000567	1	1
OG0000568	5	5
OG0000569	6	5
OG0000570	4	3
OG0000571	11	10
OG0000572	1	1
OG0000573	2	1
OG0000574	1	1
OG0000575	1	1
OG0000576	10	9
OG0000577	2	2
OG0000578	1	1
OG0000579	4	4
OG0000580	1	1
OG0000581	1	1
OG0000582	7	7
OG0000583	1	1
OG0000584	2	2
OG0000585	7	4
OG0000586	4	3
OG0000587	9	6
OG0000588	4	3
OG0000589	12	11
OG0000590	6	4
OG0000591	11	9
OG0000592	9	5
OG0000593	7	5
OG0000594	7	4
OG0000595	11	8
OG0000596	10	8
OG0000597	8	5
OG0000598	15	14
OG0000599	2	2
OG0000600	1	1
